label_col,mri_table,number_of_pos,number_of_neg,test_set_size,y_label_ratio,sex_label_ratio,Feature_extraction_applied,Pretraining_applied,model_type,Accuracy,AUC,Balanced_ACC,Permutation_Balanced_ACC,number_of_cross_validations,cross_validation_count,search_term
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,False,False,XGBoost,0.4202925731432858,0.7477495616083916,0.3249020370869957,0.1735842276399776,5,0,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,False,False,TabPFN,0.4782445611402851,0.813893279427401,0.3812170874279372,0.1654878523865376,5,0,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,False,False,Random Forest,0.4030382595648912,0.7254188317286077,0.3038863228485642,0.165841223193748,5,0,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,False,False,CatBoost,0.4519879969992498,0.7894543964713421,0.3633541193277579,0.1769969707060688,5,1,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,False,False,XGBoost,0.4405476369092273,0.7610080607597663,0.3448296089763683,0.1642862731630482,5,1,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,False,False,TabPFN,0.4951237809452363,0.826845461408289,0.3953643626633094,0.1700458625993469,5,1,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,False,False,Random Forest,0.4084771192798199,0.7405553477910111,0.3100086245490003,0.1681677254960912,5,1,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,False,False,CatBoost,0.4295629337835303,0.7750670142326569,0.3431624329013652,0.1761622270104619,5,2,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,False,False,XGBoost,0.4171825173513412,0.743239444379963,0.3241023943793784,0.1636580653384217,5,2,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,False,False,TabPFN,0.4790845995122866,0.8168960329621306,0.3891710521180578,0.1677074756074819,5,2,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,False,False,Random Forest,0.3986118927030576,0.7354266307787957,0.3025862588902926,0.1668909358164526,5,2,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4059275933220783,0.4927780904145564,False,False,CatBoost,0.4406302757456387,0.7763925615553671,0.3521409455227195,0.1613224671066987,5,3,label_age_group_aparc.volume_aparc.thickness.csv
