iter	MultiClass
0	1.74800305
1	1.709922342
2	1.672155872
3	1.642115611
4	1.615100132
5	1.590418245
6	1.566315353
7	1.547112016
8	1.527239469
9	1.508067449
10	1.491615244
11	1.476940161
12	1.463487518
13	1.451157012
14	1.439911034
15	1.428349307
16	1.418711299
17	1.410103789
18	1.402165904
19	1.394003313
20	1.385860499
21	1.378102179
22	1.370822174
23	1.362878904
24	1.355456014
25	1.349280042
26	1.344439968
27	1.339047445
28	1.332636415
29	1.328058976
30	1.322484827
31	1.317416893
32	1.312395491
33	1.307014146
34	1.302772753
35	1.298414819
36	1.293828521
37	1.28933589
38	1.284560442
39	1.279905397
40	1.276356242
41	1.273012959
42	1.269666017
43	1.264653472
44	1.261018052
45	1.257635787
46	1.253274445
47	1.249297876
48	1.245797163
49	1.242022667
50	1.237907797
51	1.233982429
52	1.230931201
53	1.226794466
54	1.222673043
55	1.218701269
56	1.215038799
57	1.212855874
58	1.210357038
59	1.208417227
60	1.20485538
61	1.20167429
62	1.198199374
63	1.194519338
64	1.19132253
65	1.189092749
66	1.185833005
67	1.183347659
68	1.179144011
69	1.175819233
70	1.173084246
71	1.170118176
72	1.166910312
73	1.163416144
74	1.160446802
75	1.157897268
76	1.154917436
77	1.152674372
78	1.14872966
79	1.14639591
80	1.142962249
81	1.14024806
82	1.137269712
83	1.134734109
84	1.131216927
85	1.128420744
86	1.125440836
87	1.121995617
88	1.119662744
89	1.117901886
90	1.115517041
91	1.113299805
92	1.109761808
93	1.106966786
94	1.104821461
95	1.102357117
96	1.100140043
97	1.097296458
98	1.095586953
99	1.093001903
100	1.091303628
101	1.089712733
102	1.086822266
103	1.084124697
104	1.081490836
105	1.07927902
106	1.077914937
107	1.076336819
108	1.073548451
109	1.071920136
110	1.069980646
111	1.067889745
112	1.06557654
113	1.06277997
114	1.060702016
115	1.058215942
116	1.056164572
117	1.053628418
118	1.051234258
119	1.04936654
120	1.046728479
121	1.044096415
122	1.041436355
123	1.039005964
124	1.037162415
125	1.035314592
126	1.032835426
127	1.030176148
128	1.027958235
129	1.024561155
130	1.021330768
131	1.019417473
132	1.01768112
133	1.015743113
134	1.013294031
135	1.011724989
136	1.009156897
137	1.007779041
138	1.00582693
139	1.004105568
140	1.002391779
141	1.000878075
142	0.997985559
143	0.9963857889
144	0.9947154522
145	0.992523774
146	0.9905451158
147	0.9890170067
148	0.9874755031
149	0.9853645091
150	0.9826885893
151	0.9805679933
152	0.9773833625
153	0.9749422835
154	0.9734230818
155	0.9717175511
156	0.9701704385
157	0.9687815925
158	0.9670663154
159	0.9652956369
160	0.9631257955
161	0.960879513
162	0.9592245619
163	0.9572895843
164	0.9548162143
165	0.9525973079
166	0.9510991955
167	0.9483312366
168	0.9457514313
169	0.9442024889
170	0.9419241001
171	0.9398176154
172	0.9380462991
173	0.9367618888
174	0.9354330029
175	0.9339999107
176	0.9323005022
177	0.9307885032
178	0.9287070615
179	0.9272911981
180	0.9254044359
181	0.9240655297
182	0.9225176285
183	0.9196174824
184	0.918008669
185	0.9163695085
186	0.9145209764
187	0.911974215
188	0.9102847588
189	0.9079895764
190	0.9053292068
191	0.9035011656
192	0.9015864331
193	0.8997683796
194	0.8980720817
195	0.8959859637
196	0.8941075408
197	0.8927697841
198	0.8907298163
199	0.888790877
200	0.8867943941
201	0.8855694769
202	0.8835808961
203	0.8817955179
204	0.8798162345
205	0.8788146051
206	0.876337425
207	0.8748577263
208	0.8738652346
209	0.8726109952
210	0.8706648296
211	0.8682880818
212	0.8672287349
213	0.8655520402
214	0.8642543531
215	0.8628910753
216	0.8613752374
217	0.8598106401
218	0.8583087471
219	0.8565688704
220	0.855159137
221	0.8530348597
222	0.8518461554
223	0.8498329279
224	0.8487829663
225	0.8465978079
226	0.8450715081
227	0.8434450143
228	0.8420147623
229	0.840831827
230	0.8393299247
231	0.8374762306
232	0.8356217701
233	0.8344473802
234	0.8330024566
235	0.8309522187
236	0.8298384243
237	0.8289521091
238	0.8283278762
239	0.826964719
240	0.8251302352
241	0.8235727498
242	0.8212212243
243	0.819982756
244	0.817948814
245	0.8166055047
246	0.8150479685
247	0.8131703888
248	0.8111481514
249	0.8097515163
250	0.8085979854
251	0.807327339
252	0.8051710032
253	0.8039256754
254	0.8029822397
255	0.8016450557
256	0.7997213425
257	0.7974101724
258	0.795702044
259	0.7943185827
260	0.7929889343
261	0.7920385865
262	0.7903935401
263	0.7896925244
264	0.7883627272
265	0.7872763773
266	0.7861671908
267	0.7846816076
268	0.7835383678
269	0.7818053971
270	0.7802072912
271	0.7791407115
272	0.7778933408
273	0.7766377573
274	0.7753974443
275	0.7739454842
276	0.7723777188
277	0.7711713568
278	0.7699233694
279	0.7684083648
280	0.7675835281
281	0.7668313627
282	0.7653452692
283	0.7640876522
284	0.7628693327
285	0.7618423631
286	0.76024802
287	0.7585439284
288	0.7572655192
289	0.7559291482
290	0.7542743314
291	0.7524341343
292	0.7513413516
293	0.7496194157
294	0.7483180157
295	0.7466786046
296	0.7446331675
297	0.7433288162
298	0.742116926
299	0.7413283341
300	0.7400452721
301	0.7386788911
302	0.737505749
303	0.7357647946
304	0.7344747949
305	0.7340428208
306	0.7325493218
307	0.7311199501
308	0.7304222101
309	0.7296935339
310	0.7286531997
311	0.7273600679
312	0.726158103
313	0.7249118032
314	0.7229453456
315	0.7219017431
316	0.7205423851
317	0.7191574
318	0.7180964317
319	0.7173600902
320	0.7166304759
321	0.7154177211
322	0.7144649842
323	0.7130342519
324	0.7117480079
325	0.7102441445
326	0.709504448
327	0.708056443
328	0.706418002
329	0.7053465437
330	0.7041015425
331	0.703005573
332	0.7014989342
333	0.699743523
334	0.6984958364
335	0.6972142606
336	0.6962736268
337	0.6953176114
338	0.6940461799
339	0.6926472424
340	0.6912150333
341	0.6905348991
342	0.6889939968
343	0.6868226506
344	0.6855716805
345	0.6844290318
346	0.6832382204
347	0.6814468765
348	0.6799941883
349	0.6791331258
350	0.6774295472
351	0.6766362794
352	0.6754766423
353	0.6738953867
354	0.6725247921
355	0.6707019511
356	0.6689153622
357	0.6678811547
358	0.6661164059
359	0.6648340434
360	0.6636616797
361	0.662568093
362	0.6619332145
363	0.6610558415
364	0.6598654511
365	0.6585560387
366	0.6574057688
367	0.6563411709
368	0.6549786903
369	0.6542186098
370	0.65322286
371	0.651683027
372	0.6509248439
373	0.6503925987
374	0.6497667156
375	0.6480117237
376	0.6474059777
377	0.6462907892
378	0.6457998793
379	0.6448627769
380	0.6440293727
381	0.6423807895
382	0.6414320254
383	0.6407600704
384	0.640005341
385	0.6388771724
386	0.6377654575
387	0.6367247894
388	0.6359885138
389	0.6349951024
390	0.6339425842
391	0.6329490744
392	0.6323842937
393	0.6309691661
394	0.6300206408
395	0.6288638472
396	0.6274846417
397	0.6259642192
398	0.6246241022
399	0.6237729856
400	0.6229129625
401	0.6223959471
402	0.6217070306
403	0.6206662178
404	0.6195015912
405	0.6184405583
406	0.6169710824
407	0.6160137851
408	0.6146942822
409	0.6135127478
410	0.6123969169
411	0.6113614908
412	0.6101646575
413	0.609507234
414	0.6084036478
415	0.607676084
416	0.6063111835
417	0.6047800552
418	0.603812557
419	0.6025629908
420	0.6017472207
421	0.6004062488
422	0.5990826593
423	0.598248402
424	0.5976995773
425	0.5967393865
426	0.5956064851
427	0.5946537936
428	0.5940599426
429	0.5936684873
430	0.5921362132
431	0.5912415203
432	0.5903273357
433	0.5889805
434	0.5876874263
435	0.5864490252
436	0.5853111505
437	0.5841356492
438	0.5829773714
439	0.5816879271
440	0.5803244771
441	0.5796670819
442	0.5782545958
443	0.5771501839
444	0.575840226
445	0.5747290697
446	0.5737868161
447	0.5720208021
448	0.5711149743
449	0.569776048
450	0.5688676614
451	0.5678961992
452	0.5670501596
453	0.5662843117
454	0.5649152216
455	0.5641895726
456	0.5633842797
457	0.5628206968
458	0.5620903734
459	0.561455278
460	0.5602354489
461	0.5593964829
462	0.5586932727
463	0.5578910206
464	0.5570606764
465	0.5560786585
466	0.5545782094
467	0.5538520597
468	0.5524802351
469	0.5518830733
470	0.550822147
471	0.5498212962
472	0.5484480664
473	0.5472637969
474	0.5462977501
475	0.5448674633
476	0.543591473
477	0.5423328035
478	0.5416632736
479	0.5408507151
480	0.5402091372
481	0.5391933328
482	0.5383149458
483	0.5378279719
484	0.5366566881
485	0.5357675058
486	0.5349658223
487	0.5342899395
488	0.5333272924
489	0.5323083979
490	0.5311611476
491	0.5302906541
492	0.5295384558
493	0.5288737905
494	0.5280117931
495	0.5266640779
496	0.5259387913
497	0.5249578296
498	0.5238009446
499	0.5231200303
500	0.5218154565
501	0.5207191418
502	0.5196460008
503	0.5186639606
504	0.5177401453
505	0.517175224
506	0.5156021691
507	0.5147940724
508	0.5138783239
509	0.5134023107
510	0.5125676172
511	0.5117320673
512	0.5111304546
513	0.5102058842
514	0.5097191487
515	0.5093429609
516	0.5085276312
517	0.5078090439
518	0.5065897245
519	0.5059807723
520	0.5053702108
521	0.5043321775
522	0.5032589168
523	0.5026362524
524	0.501717303
525	0.5010411702
526	0.5002779345
527	0.4995443598
528	0.4986852002
529	0.4982472121
530	0.4974063544
531	0.4964698501
532	0.4956822321
533	0.4944299169
534	0.4937152413
535	0.4926291556
536	0.4914018513
537	0.4904824352
538	0.4898220657
539	0.4889687149
540	0.4881327838
541	0.4871510706
542	0.4862871751
543	0.4852318844
544	0.4847506914
545	0.4841121481
546	0.4833692231
547	0.4826590051
548	0.4818816223
549	0.481255282
550	0.480450099
551	0.4799410425
552	0.4791462318
553	0.4783611316
554	0.4774925958
555	0.4768499701
556	0.4763703239
557	0.4754752264
558	0.4746006901
559	0.4734940616
560	0.4729143505
561	0.47225789
562	0.4717133304
563	0.4711287302
564	0.4703453644
565	0.4698408898
566	0.4691088552
567	0.4681559224
568	0.467570499
569	0.4669167339
570	0.465970883
571	0.4651493413
572	0.4643612972
573	0.4634733219
574	0.4628505159
575	0.4621607922
576	0.4611610465
577	0.4601051033
578	0.4594190323
579	0.4586548152
580	0.4577431886
581	0.4569333518
582	0.4563075857
583	0.4554403453
584	0.454696317
585	0.453821463
586	0.4527210096
587	0.4518589397
588	0.4513579047
589	0.4505558465
590	0.4496354779
591	0.4486839697
592	0.4483105425
593	0.4477689337
594	0.4467225146
595	0.4459468654
596	0.4452723913
597	0.4446272346
598	0.4433267846
599	0.4426503961
600	0.4420598972
601	0.4416180727
602	0.4406832609
603	0.4402508338
604	0.4396468878
605	0.4391387275
606	0.4384764814
607	0.4380001455
608	0.4371521878
609	0.4366515241
610	0.4360564287
611	0.4355229076
612	0.4350087621
613	0.4343063869
614	0.4336221111
615	0.4329007082
616	0.4322123981
617	0.4312468575
618	0.4308409458
619	0.4299993522
620	0.4294937293
621	0.428841339
622	0.4282001051
623	0.4275600898
624	0.4264855251
625	0.4257073606
626	0.4246220412
627	0.4239583456
628	0.4233816666
629	0.4228158512
630	0.421955504
631	0.4214913598
632	0.4207789702
633	0.4200832682
634	0.4192129322
635	0.418687013
636	0.417870533
637	0.416984478
638	0.4161292768
639	0.4155338236
640	0.4149924028
641	0.4144138402
642	0.4138667707
643	0.4131574968
644	0.4125719261
645	0.4120093651
646	0.4115438117
647	0.4105986971
648	0.410136934
649	0.4094116655
650	0.4089620971
651	0.4082795346
652	0.4074509568
653	0.4070284636
654	0.4064651942
655	0.4061168099
656	0.4057869122
657	0.4052599352
658	0.4048133071
659	0.4039259904
660	0.403444566
661	0.4026564779
662	0.402058293
663	0.4013595837
664	0.4006036812
665	0.3998053623
666	0.3991721277
667	0.398530838
668	0.3981132101
669	0.3974887567
670	0.3969363241
671	0.3960620606
672	0.3953375864
673	0.3948170906
674	0.3940967508
675	0.3936214231
676	0.3928974406
677	0.3921387879
678	0.3913656213
679	0.3908832352
680	0.3902017882
681	0.3894670793
682	0.3891264063
683	0.3887443633
684	0.388007096
685	0.3877698028
686	0.3872216874
687	0.3866894367
688	0.38638468
689	0.3860866766
690	0.3857198117
691	0.3851993844
692	0.384703401
693	0.3842800568
694	0.384010005
695	0.3831270492
696	0.3822163784
697	0.3816566169
698	0.3812801787
699	0.380320057
700	0.3797260417
701	0.3790235597
702	0.378337886
703	0.3775962211
704	0.3769333528
705	0.3765896699
706	0.3760702273
707	0.3754285589
708	0.3747740292
709	0.3744211347
710	0.3740705293
711	0.37359399
712	0.3730666684
713	0.372548635
714	0.3719250609
715	0.3716636456
716	0.3713546016
717	0.3710191419
718	0.3705925225
719	0.3700341823
720	0.3696923439
721	0.3689636505
722	0.3683029348
723	0.3679891576
724	0.3676194178
725	0.3673354588
726	0.3668583231
727	0.3664167155
728	0.3660412591
729	0.3653282776
730	0.3648361054
731	0.3643293447
732	0.363355275
733	0.362862735
734	0.3621302653
735	0.3618109843
736	0.3613835769
737	0.3608467797
738	0.3601829802
739	0.3594060948
740	0.3588417782
741	0.3582515302
742	0.357768909
743	0.3571367966
744	0.3568491516
745	0.3563905432
746	0.3558359349
747	0.3552849102
748	0.3544078689
749	0.3539313054
750	0.3533250309
751	0.352712814
752	0.3519391874
753	0.3511803937
754	0.3507117287
755	0.3501798028
756	0.3495589219
757	0.3489973887
758	0.3482757461
759	0.3474813714
760	0.3472897033
761	0.3465611431
762	0.3458296043
763	0.3452421763
764	0.3448437809
765	0.3442445215
766	0.343487895
767	0.3425125298
768	0.3420639887
769	0.34160742
770	0.3410296603
771	0.3406551071
772	0.3398324597
773	0.3393421481
774	0.3387904135
775	0.3381497959
776	0.3377258923
777	0.337151111
778	0.3364894515
779	0.3359959676
780	0.3354175543
781	0.3347547969
782	0.3341754872
783	0.3336547029
784	0.3328625257
785	0.3323749564
786	0.3320855069
787	0.3317548639
788	0.3315478089
789	0.3310014419
790	0.3307072876
791	0.3303430915
792	0.329845199
793	0.3294351532
794	0.3289871863
795	0.3286865993
796	0.3282881236
797	0.3277291064
798	0.327148688
799	0.3267317636
800	0.3262730517
801	0.325748334
802	0.3253323089
803	0.3250937709
804	0.3246201292
805	0.3243425004
806	0.3237440605
807	0.3232823684
808	0.3228877707
809	0.3225367002
810	0.32203701
811	0.3215439995
812	0.3207389321
813	0.3203900309
814	0.3200066433
815	0.3196308579
816	0.3194694194
817	0.3191592762
818	0.3188088255
819	0.318553163
820	0.3178625354
821	0.3172575409
822	0.3169317569
823	0.3165034212
824	0.3161079684
825	0.3156462998
826	0.315031468
827	0.3147439198
828	0.3140795014
829	0.3133688891
830	0.3127203871
831	0.3124628143
832	0.3120371799
833	0.311654908
834	0.3110112485
835	0.3106754663
836	0.30998917
837	0.3096017609
838	0.3091828124
839	0.3089645961
840	0.3084082559
841	0.308098142
842	0.3074558584
843	0.3071164006
844	0.3067665573
845	0.3062065654
846	0.305592262
847	0.3052668761
848	0.3049495275
849	0.3045290884
850	0.3039573818
851	0.3035466318
852	0.3032246464
853	0.3028126694
854	0.3024961131
855	0.3019948831
856	0.3015732467
857	0.3010094544
858	0.3004919482
859	0.3001326122
860	0.2997518451
861	0.2994231942
862	0.2988811239
863	0.2984104871
864	0.2979992157
865	0.2978545128
866	0.2974014223
867	0.2969393878
868	0.2963510736
869	0.2958357761
870	0.2954875291
871	0.2948892146
872	0.294413323
873	0.2942341782
874	0.2939220019
875	0.2933173937
876	0.2929368799
877	0.2924706642
878	0.2920760717
879	0.2916336049
880	0.291147059
881	0.2903852693
882	0.289918488
883	0.2895727061
884	0.2891714956
885	0.2888968475
886	0.2885399809
887	0.2882018907
888	0.2876029078
889	0.2871109777
890	0.2866841594
891	0.2863349901
892	0.2859060054
893	0.2853645656
894	0.2848450902
895	0.284248175
896	0.2838737501
897	0.2833893258
898	0.2828293967
899	0.2823013618
900	0.2819483252
901	0.2815539532
902	0.281134958
903	0.280616031
904	0.2802671383
905	0.279951894
906	0.2796283579
907	0.27942716
908	0.2788583041
909	0.2782636028
910	0.277991617
911	0.2775889574
912	0.2773296089
913	0.2767800138
914	0.2764579709
915	0.275890176
916	0.2755966421
917	0.2754027699
918	0.2749923532
919	0.2744275977
920	0.2741328566
921	0.2738849229
922	0.2736310852
923	0.2730856326
924	0.2728280517
925	0.2724751637
926	0.2722675702
927	0.271803214
928	0.2713577259
929	0.2709758428
930	0.2704954319
931	0.2700002834
932	0.2694818106
933	0.2691398637
934	0.2687702947
935	0.268467601
936	0.2682189842
937	0.2677886392
938	0.267449815
939	0.2669224691
940	0.2663183423
941	0.2658888872
942	0.2655451562
943	0.2651962199
944	0.2649899937
945	0.2647369064
946	0.2644256135
947	0.2639334167
948	0.2635999404
949	0.2630302108
950	0.2626549204
951	0.2623460038
952	0.2620763483
953	0.2617034814
954	0.2613589414
955	0.2610327042
956	0.2605292592
957	0.2600728929
958	0.2597318054
959	0.2594982659
960	0.2592015821
961	0.2589551798
962	0.2584480514
963	0.2580588461
964	0.257857383
965	0.2576012449
966	0.2573666352
967	0.2571461875
968	0.2568262185
969	0.2565858002
970	0.2561539067
971	0.2558789624
972	0.2556077385
973	0.2553156558
974	0.2548633792
975	0.2546717916
976	0.2542253069
977	0.2539300775
978	0.2537441595
979	0.2532258081
980	0.2528520503
981	0.2523940825
982	0.251911611
983	0.2516392796
984	0.2512796384
985	0.251151921
986	0.2508971793
987	0.250666601
988	0.2503653173
989	0.2500078614
990	0.2497544836
991	0.2494361757
992	0.2492006358
993	0.2489400078
994	0.2485514998
995	0.2479557225
996	0.2475833981
997	0.2472889078
998	0.2467427863
999	0.2461496821
