iter	Passed	Remaining
407	4952	7186
408	4964	7173
409	4976	7161
410	4989	7150
411	5002	7139
412	5014	7127
413	5026	7115
414	5039	7104
415	5051	7091
416	5063	7079
417	5075	7066
418	5087	7054
419	5099	7042
420	5111	7030
421	5125	7020
422	5137	7008
423	5150	6996
424	5162	6984
425	5174	6971
426	5186	6959
427	5198	6948
428	5211	6936
429	5227	6929
430	5239	6917
431	5252	6905
432	5264	6893
433	5277	6882
434	5290	6871
435	5304	6861
436	5318	6851
437	5331	6841
438	5344	6830
439	5358	6819
440	5371	6809
441	5383	6796
442	5396	6784
443	5409	6773
444	5422	6762
445	5434	6750
446	5446	6737
447	5460	6727
448	5472	6715
449	5488	6708
450	5509	6706
451	5529	6704
452	5543	6693
453	5555	6681
454	5567	6668
455	5579	6656
456	5591	6643
457	5603	6631
458	5615	6618
459	5627	6605
460	5639	6593
461	5652	6582
462	5664	6569
463	5676	6557
464	5688	6544
465	5701	6533
466	5713	6521
467	5730	6513
468	5742	6501
469	5754	6489
470	5767	6477
471	5779	6465
472	5791	6453
473	5804	6441
474	5817	6429
475	5830	6418
476	5844	6408
477	5857	6396
478	5870	6384
479	5882	6372
480	5895	6360
481	5907	6349
482	5920	6336
483	5932	6325
484	5945	6313
485	5958	6301
486	5970	6289
487	5982	6276
488	5995	6264
489	6006	6252
490	6018	6239
491	6030	6226
492	6041	6213
493	6054	6201
494	6066	6189
495	6078	6176
496	6091	6164
497	6103	6152
498	6116	6141
499	6128	6128
500	6141	6116
501	6154	6105
502	6167	6093
503	6179	6081
504	6191	6069
505	6203	6056
506	6220	6048
507	6231	6035
508	6243	6023
509	6255	6009
510	6267	5997
511	6279	5984
512	6290	5972
513	6302	5959
514	6315	5947
515	6327	5935
516	6339	5922
517	6351	5909
518	6362	5897
519	6374	5883
520	6385	5870
521	6396	5857
522	6408	5845
523	6420	5832
524	6432	5819
525	6443	5806
526	6455	5794
527	6468	5782
528	6481	5770
529	6493	5758
530	6505	5745
531	6516	5732
532	6528	5719
533	6539	5707
534	6551	5694
535	6563	5681
536	6575	5669
537	6587	5656
538	6599	5644
539	6610	5631
540	6623	5619
541	6635	5606
542	6647	5594
543	6658	5581
544	6670	5568
545	6681	5555
546	6693	5543
547	6705	5530
548	6721	5521
549	6733	5509
550	6745	5496
551	6757	5484
552	6769	5471
553	6780	5459
554	6792	5446
555	6804	5433
556	6817	5422
557	6829	5409
558	6841	5397
559	6853	5384
560	6864	5371
561	6876	5359
562	6887	5346
563	6899	5333
564	6911	5321
565	6922	5308
566	6934	5295
567	6946	5282
568	6957	5270
569	6969	5257
570	6981	5244
571	6992	5232
572	7004	5219
573	7015	5206
574	7027	5194
575	7039	5181
576	7051	5169
577	7062	5156
578	7074	5144
579	7086	5131
580	7097	5118
581	7109	5106
582	7121	5093
583	7132	5081
584	7144	5068
585	7156	5055
586	7168	5043
587	7179	5030
588	7191	5017
589	7202	5005
590	7218	4995
591	7229	4982
592	7241	4969
593	7252	4957
594	7263	4944
595	7275	4931
596	7286	4918
597	7298	4906
598	7311	4894
599	7322	4881
600	7333	4868
601	7344	4855
602	7356	4843
603	7367	4830
604	7378	4817
605	7390	4804
606	7401	4792
607	7414	4780
608	7425	4767
609	7437	4755
610	7449	4742
611	7460	4729
612	7471	4717
613	7483	4704
614	7494	4691
615	7506	4679
616	7517	4666
617	7529	4654
618	7541	4641
619	7552	4628
620	7563	4616
621	7575	4603
622	7587	4591
623	7598	4578
624	7610	4566
625	7621	4553
626	7633	4541
627	7645	4528
628	7656	4516
629	7668	4503
630	7679	4490
631	7690	4478
632	7705	4467
633	7717	4454
634	7728	4442
635	7739	4429
636	7750	4416
637	7762	4404
638	7773	4391
639	7784	4378
640	7796	4366
641	7808	4354
642	7819	4341
643	7830	4328
644	7841	4315
645	7852	4303
646	7863	4290
647	7875	4277
648	7886	4265
649	7897	4252
650	7908	4239
651	7919	4226
652	7930	4214
653	7941	4201
